UF,Tipo Crime,Ano,Mês,Ocorrências
Acre,Estupro,2015,janeiro,6
Acre,Furto de veículo,2015,janeiro,0
Acre,Homicídio doloso,2015,janeiro,13
Acre,Lesão corporal seguida de morte,2015,janeiro,0
Acre,Roubo a instituição financeira,2015,janeiro,0
Acre,Roubo de carga,2015,janeiro,0
Acre,Roubo de veículo,2015,janeiro,0
Acre,Roubo seguido de morte (latrocínio),2015,janeiro,0
Acre,Tentativa de homicídio,2015,janeiro,2
Acre,Estupro,2015,fevereiro,8
Acre,Furto de veículo,2015,fevereiro,0
Acre,Homicídio doloso,2015,fevereiro,10
Acre,Lesão corporal seguida de morte,2015,fevereiro,1
Acre,Roubo a instituição financeira,2015,fevereiro,0
Acre,Roubo de carga,2015,fevereiro,0
Acre,Roubo de veículo,2015,fevereiro,0
Acre,Roubo seguido de morte (latrocínio),2015,fevereiro,1
Acre,Tentativa de homicídio,2015,fevereiro,0
Acre,Estupro,2015,março,6
Acre,Furto de veículo,2015,março,0
Acre,Homicídio doloso,2015,março,16
Acre,Lesão corporal seguida de morte,2015,março,0
Acre,Roubo a instituição financeira,2015,março,0
Acre,Roubo de carga,2015,março,0
Acre,Roubo de veículo,2015,março,0
Acre,Roubo seguido de morte (latrocínio),2015,março,1
Acre,Tentativa de homicídio,2015,março,1
Acre,Estupro,2015,abril,3
Acre,Furto de veículo,2015,abril,0
Acre,Homicídio doloso,2015,abril,22
Acre,Lesão corporal seguida de morte,2015,abril,0
Acre,Roubo a instituição financeira,2015,abril,0
Acre,Roubo de carga,2015,abril,0
Acre,Roubo de veículo,2015,abril,0
Acre,Roubo seguido de morte (latrocínio),2015,abril,1
Acre,Tentativa de homicídio,2015,abril,2
Acre,Estupro,2015,maio,4
Acre,Furto de veículo,2015,maio,0
Acre,Homicídio doloso,2015,maio,15
Acre,Lesão corporal seguida de morte,2015,maio,0
Acre,Roubo a instituição financeira,2015,maio,0
Acre,Roubo de carga,2015,maio,0
Acre,Roubo de veículo,2015,maio,0
Acre,Roubo seguido de morte (latrocínio),2015,maio,0
Acre,Tentativa de homicídio,2015,maio,2
Acre,Estupro,2015,junho,4
Acre,Furto de veículo,2015,junho,0
Acre,Homicídio doloso,2015,junho,14
Acre,Lesão corporal seguida de morte,2015,junho,0
Acre,Roubo a instituição financeira,2015,junho,0
Acre,Roubo de carga,2015,junho,0
Acre,Roubo de veículo,2015,junho,0
Acre,Roubo seguido de morte (latrocínio),2015,junho,1
Acre,Tentativa de homicídio,2015,junho,0
Acre,Estupro,2015,julho,2
Acre,Furto de veículo,2015,julho,0
Acre,Homicídio doloso,2015,julho,14
Acre,Lesão corporal seguida de morte,2015,julho,1
Acre,Roubo a instituição financeira,2015,julho,0
Acre,Roubo de carga,2015,julho,0
Acre,Roubo de veículo,2015,julho,0
Acre,Roubo seguido de morte (latrocínio),2015,julho,2
Acre,Tentativa de homicídio,2015,julho,0
Acre,Estupro,2015,agosto,1
Acre,Furto de veículo,2015,agosto,0
Acre,Homicídio doloso,2015,agosto,13
Acre,Lesão corporal seguida de morte,2015,agosto,1
Acre,Roubo a instituição financeira,2015,agosto,0
Acre,Roubo de carga,2015,agosto,0
Acre,Roubo de veículo,2015,agosto,0
Acre,Roubo seguido de morte (latrocínio),2015,agosto,1
Acre,Tentativa de homicídio,2015,agosto,3
Acre,Estupro,2015,setembro,2
Acre,Furto de veículo,2015,setembro,0
Acre,Homicídio doloso,2015,setembro,18
Acre,Lesão corporal seguida de morte,2015,setembro,0
Acre,Roubo a instituição financeira,2015,setembro,0
Acre,Roubo de carga,2015,setembro,0
Acre,Roubo de veículo,2015,setembro,0
Acre,Roubo seguido de morte (latrocínio),2015,setembro,0
Acre,Tentativa de homicídio,2015,setembro,5
Acre,Estupro,2015,outubro,5
