UF,Tipo Crime,Ano,Mês,Vítimas
Acre,Homicídio doloso,2015,janeiro,13
Acre,Homicídio doloso,2015,fevereiro,10
Acre,Homicídio doloso,2015,março,16
Acre,Homicídio doloso,2015,abril,22
Acre,Homicídio doloso,2015,maio,15
Acre,Homicídio doloso,2015,junho,14
Acre,Homicídio doloso,2015,julho,14
Acre,Homicídio doloso,2015,agosto,13
Acre,Homicídio doloso,2015,setembro,18
Acre,Homicídio doloso,2015,outubro,15
Acre,Homicídio doloso,2015,novembro,21
Acre,Homicídio doloso,2015,dezembro,18
Acre,Homicídio doloso,2016,janeiro,18
Acre,Homicídio doloso,2016,fevereiro,18
Acre,Homicídio doloso,2016,março,19
Acre,Homicídio doloso,2016,abril,22
Acre,Homicídio doloso,2016,maio,27
Acre,Homicídio doloso,2016,junho,26
Acre,Homicídio doloso,2016,julho,23
Acre,Homicídio doloso,2016,agosto,23
Acre,Homicídio doloso,2016,setembro,27
Acre,Homicídio doloso,2016,outubro,50
Acre,Homicídio doloso,2016,novembro,30
Acre,Homicídio doloso,2016,dezembro,71
Acre,Homicídio doloso,2017,janeiro,43
Acre,Homicídio doloso,2017,fevereiro,46
Acre,Homicídio doloso,2017,março,3
Acre,Homicídio doloso,2017,abril,3
Acre,Homicídio doloso,2017,maio,1
Acre,Homicídio doloso,2017,junho,10
Acre,Homicídio doloso,2017,julho,28
Acre,Homicídio doloso,2017,agosto,21
Acre,Homicídio doloso,2017,setembro,25
Acre,Homicídio doloso,2017,outubro,19
Acre,Homicídio doloso,2017,novembro,22
Acre,Homicídio doloso,2017,dezembro,11
Acre,Homicídio doloso,2018,janeiro,51
Acre,Homicídio doloso,2018,fevereiro,28
Acre,Homicídio doloso,2018,março,29
Acre,Homicídio doloso,2018,abril,30
Acre,Homicídio doloso,2018,maio,36
Acre,Homicídio doloso,2018,junho,36
Acre,Homicídio doloso,2018,julho,51
Acre,Homicídio doloso,2018,agosto,33
Acre,Homicídio doloso,2018,setembro,25
Acre,Homicídio doloso,2018,outubro,26
Acre,Homicídio doloso,2018,novembro,21
Acre,Homicídio doloso,2018,dezembro,28
Acre,Homicídio doloso,2019,janeiro,32
Acre,Homicídio doloso,2019,fevereiro,26
Acre,Homicídio doloso,2019,março,26
Acre,Homicídio doloso,2019,abril,21
Acre,Homicídio doloso,2019,maio,20
Acre,Homicídio doloso,2019,junho,24
Acre,Homicídio doloso,2019,julho,25
Acre,Homicídio doloso,2019,agosto,19
Acre,Homicídio doloso,2019,setembro,33
Acre,Homicídio doloso,2019,outubro,16
Acre,Homicídio doloso,2019,novembro,22
Acre,Homicídio doloso,2019,dezembro,34
Acre,Homicídio doloso,2020,janeiro,46
Acre,Homicídio doloso,2020,fevereiro,20
Acre,Homicídio doloso,2020,março,18
Acre,Lesão corporal seguida de morte,2017,agosto,3
Acre,Lesão corporal seguida de morte,2019,fevereiro,1
Acre,Lesão corporal seguida de morte,2019,julho,1
Acre,Lesão corporal seguida de morte,2019,agosto,1
Acre,Lesão corporal seguida de morte,2019,setembro,0
Acre,Lesão corporal seguida de morte,2019,outubro,0
Acre,Lesão corporal seguida de morte,2019,dezembro,0
Acre,Lesão corporal seguida de morte,2020,janeiro,0
Acre,Lesão corporal seguida de morte,2020,março,0
Acre,Roubo seguido de morte (latrocínio),2017,julho,6
Acre,Roubo seguido de morte (latrocínio),2017,agosto,2
Acre,Roubo seguido de morte (latrocínio),2017,novembro,7
Acre,Roubo seguido de morte (latrocínio),2018,janeiro,2
Acre,Roubo seguido de morte (latrocínio),2018,fevereiro,2
Acre,Roubo seguido de morte (latrocínio),2018,abril,4
Acre,Roubo seguido de morte (latrocínio),2018,maio,1
Acre,Roubo seguido de morte (latrocínio),2018,junho,1
Acre,Roubo seguido de morte (latrocínio),2018,agosto,2
Acre,Roubo seguido de morte (latrocínio),2018,setembro,4
Acre,Roubo seguido de morte (latrocínio),2018,outubro,1
Acre,Roubo seguido de morte (latrocínio),2018,novembro,2
Acre,Roubo seguido de morte (latrocínio),2018,dezembro,1
Acre,Roubo seguido de morte (latrocínio),2019,fevereiro,1
Acre,Roubo seguido de morte (latrocínio),2019,março,1
Acre,Roubo seguido de morte (latrocínio),2019,abril,2
Acre,Roubo seguido de morte (latrocínio),2019,maio,1
Acre,Roubo seguido de morte (latrocínio),2019,junho,4
Acre,Roubo seguido de morte (latrocínio),2019,agosto,1
Acre,Roubo seguido de morte (latrocínio),2019,setembro,1
Acre,Roubo seguido de morte (latrocínio),2019,outubro,0
Acre,Roubo seguido de morte (latrocínio),2019,novembro,1
Acre,Roubo seguido de morte (latrocínio),2019,dezembro,0
Acre,Roubo seguido de morte (latrocínio),2020,janeiro,1
Acre,Roubo seguido de morte (latrocínio),2020,março,0
Alagoas,Homicídio doloso,2015,janeiro,186
Alagoas,Homicídio doloso,2015,fevereiro,147
Alagoas,Homicídio doloso,2015,março,132
Alagoas,Homicídio doloso,2015,abril,127
Alagoas,Homicídio doloso,2015,maio,121
Alagoas,Homicídio doloso,2015,junho,138
Alagoas,Homicídio doloso,2015,julho,130
Alagoas,Homicídio doloso,2015,agosto,119
Alagoas,Homicídio doloso,2015,setembro,116
Alagoas,Homicídio doloso,2015,outubro,128
Alagoas,Homicídio doloso,2015,novembro,139
Alagoas,Homicídio doloso,2015,dezembro,160
Alagoas,Homicídio doloso,2016,janeiro,148
Alagoas,Homicídio doloso,2016,fevereiro,132
Alagoas,Homicídio doloso,2016,março,161
Alagoas,Homicídio doloso,2016,abril,127
Alagoas,Homicídio doloso,2016,maio,147
Alagoas,Homicídio doloso,2016,junho,124
Alagoas,Homicídio doloso,2016,julho,151
Alagoas,Homicídio doloso,2016,agosto,126
Alagoas,Homicídio doloso,2016,setembro,120
Alagoas,Homicídio doloso,2016,outubro,132
Alagoas,Homicídio doloso,2016,novembro,152
Alagoas,Homicídio doloso,2016,dezembro,175
Alagoas,Homicídio doloso,2017,janeiro,189
Alagoas,Homicídio doloso,2017,fevereiro,168
