Município,Sigla UF,Região,Mês/Ano,Vítimas
Bujari,AC,NORTE,jan/18,1
Cruzeiro do Sul,AC,NORTE,jan/18,8
Feijó,AC,NORTE,jan/18,3
Jordão,AC,NORTE,jan/18,1
Mâncio Lima,AC,NORTE,jan/18,1
Rio Branco,AC,NORTE,jan/18,31
Rodrigues Alves,AC,NORTE,jan/18,2
Sena Madureira,AC,NORTE,jan/18,1
Senador Guiomard,AC,NORTE,jan/18,1
Tarauacá,AC,NORTE,jan/18,1
Xapuri,AC,NORTE,jan/18,1
Capixaba,AC,NORTE,fev/18,3
Cruzeiro do Sul,AC,NORTE,fev/18,4
Feijó,AC,NORTE,fev/18,1
Porto Acre,AC,NORTE,fev/18,1
Rio Branco,AC,NORTE,fev/18,18
Tarauacá,AC,NORTE,fev/18,1
Bujari,AC,NORTE,mar/18,1
Capixaba,AC,NORTE,mar/18,1
Cruzeiro do Sul,AC,NORTE,mar/18,9
Plácido De Castro,AC,NORTE,mar/18,1
Rio Branco,AC,NORTE,mar/18,11
Sena Madureira,AC,NORTE,mar/18,2
Senador Guiomard,AC,NORTE,mar/18,2
Tarauacá,AC,NORTE,mar/18,2
Acrelândia,AC,NORTE,abr/18,1
Brasiléia,AC,NORTE,abr/18,2
Cruzeiro do Sul,AC,NORTE,abr/18,3
Feijó,AC,NORTE,abr/18,1
Plácido De Castro,AC,NORTE,abr/18,3
Porto Acre,AC,NORTE,abr/18,2
Rio Branco,AC,NORTE,abr/18,15
Senador Guiomard,AC,NORTE,abr/18,1
Tarauacá,AC,NORTE,abr/18,2
Acrelândia,AC,NORTE,mai/18,1
Brasiléia,AC,NORTE,mai/18,1
Cruzeiro do Sul,AC,NORTE,mai/18,6
Feijó,AC,NORTE,mai/18,2
Plácido De Castro,AC,NORTE,mai/18,1
Rio Branco,AC,NORTE,mai/18,22
Rodrigues Alves,AC,NORTE,mai/18,1
Sena Madureira,AC,NORTE,mai/18,1
Tarauacá,AC,NORTE,mai/18,1
Assis Brasil,AC,NORTE,jun/18,1
Capixaba,AC,NORTE,jun/18,1
Cruzeiro do Sul,AC,NORTE,jun/18,7
Epitaciolândia,AC,NORTE,jun/18,1
Feijó,AC,NORTE,jun/18,2
Plácido De Castro,AC,NORTE,jun/18,1
Porto Acre,AC,NORTE,jun/18,1
Rio Branco,AC,NORTE,jun/18,18
Sena Madureira,AC,NORTE,jun/18,4
Acrelândia,AC,NORTE,jul/18,1
Assis Brasil,AC,NORTE,jul/18,4
Brasiléia,AC,NORTE,jul/18,1
Cruzeiro do Sul,AC,NORTE,jul/18,7
Feijó,AC,NORTE,jul/18,2
Mâncio Lima,AC,NORTE,jul/18,2
Rio Branco,AC,NORTE,jul/18,33
Sena Madureira,AC,NORTE,jul/18,1
Capixaba,AC,NORTE,ago/18,1
Cruzeiro do Sul,AC,NORTE,ago/18,6
Mâncio Lima,AC,NORTE,ago/18,4
Rio Branco,AC,NORTE,ago/18,19
Tarauacá,AC,NORTE,ago/18,3
Capixaba,AC,NORTE,set/18,2
Cruzeiro do Sul,AC,NORTE,set/18,3
Marechal Thaumaturgo,AC,NORTE,set/18,1
Rio Branco,AC,NORTE,set/18,15
Sena Madureira,AC,NORTE,set/18,1
Senador Guiomard,AC,NORTE,set/18,1
Tarauacá,AC,NORTE,set/18,2
Acrelândia,AC,NORTE,out/18,1
Assis Brasil,AC,NORTE,out/18,1
Brasiléia,AC,NORTE,out/18,1
Bujari,AC,NORTE,out/18,0
Capixaba,AC,NORTE,out/18,1
Cruzeiro Do Sul,AC,NORTE,out/18,3
Epitaciolândia,AC,NORTE,out/18,0
Feijó,AC,NORTE,out/18,3
Jordão,AC,NORTE,out/18,0
Mâncio Lima,AC,NORTE,out/18,0
Manoel Urbano,AC,NORTE,out/18,0
Marechal Thaumaturgo,AC,NORTE,out/18,0
Plácido De Castro,AC,NORTE,out/18,1
Porto Walter,AC,NORTE,out/18,0
Rio Branco,AC,NORTE,out/18,13
Rodrigues Alves,AC,NORTE,out/18,0
Santa Rosa Do Purus,AC,NORTE,out/18,0
Senador Guiomard,AC,NORTE,out/18,1
Sena Madureira,AC,NORTE,out/18,0
Tarauacá,AC,NORTE,out/18,3
Xapuri,AC,NORTE,out/18,0
Porto Acre,AC,NORTE,out/18,0
Acrelândia,AC,NORTE,nov/18,0
Assis Brasil,AC,NORTE,nov/18,1
Brasiléia,AC,NORTE,nov/18,1
Bujari,AC,NORTE,nov/18,0
Capixaba,AC,NORTE,nov/18,0
Cruzeiro Do Sul,AC,NORTE,nov/18,2
Epitaciolândia,AC,NORTE,nov/18,0
Feijó,AC,NORTE,nov/18,1
Jordão,AC,NORTE,nov/18,0
Mâncio Lima,AC,NORTE,nov/18,1
Manoel Urbano,AC,NORTE,nov/18,0
Marechal Thaumaturgo,AC,NORTE,nov/18,0
Plácido De Castro,AC,NORTE,nov/18,0
Porto Walter,AC,NORTE,nov/18,0
Rio Branco,AC,NORTE,nov/18,12
Rodrigues Alves,AC,NORTE,nov/18,0
Santa Rosa Do Purus,AC,NORTE,nov/18,0
Senador Guiomard,AC,NORTE,nov/18,2
Sena Madureira,AC,NORTE,nov/18,0
Tarauacá,AC,NORTE,nov/18,0
Xapuri,AC,NORTE,nov/18,0
Porto Acre,AC,NORTE,nov/18,0
Acrelândia,AC,NORTE,dez/18,1
Assis Brasil,AC,NORTE,dez/18,0
Brasiléia,AC,NORTE,dez/18,1
Bujari,AC,NORTE,dez/18,0
Capixaba,AC,NORTE,dez/18,1
Cruzeiro Do Sul,AC,NORTE,dez/18,1
Epitaciolândia,AC,NORTE,dez/18,0
Feijó,AC,NORTE,dez/18,1
Jordão,AC,NORTE,dez/18,0
Mâncio Lima,AC,NORTE,dez/18,0
Manoel Urbano,AC,NORTE,dez/18,0
Marechal Thaumaturgo,AC,NORTE,dez/18,0
Plácido De Castro,AC,NORTE,dez/18,0
Porto Walter,AC,NORTE,dez/18,0
Rio Branco,AC,NORTE,dez/18,20
Rodrigues Alves,AC,NORTE,dez/18,1
Santa Rosa Do Purus,AC,NORTE,dez/18,0
Senador Guiomard,AC,NORTE,dez/18,1
Sena Madureira,AC,NORTE,dez/18,0
Tarauacá,AC,NORTE,dez/18,1
Xapuri,AC,NORTE,dez/18,1
Porto Acre,AC,NORTE,dez/18,0
Acrelândia,AC,NORTE,jan/19,1
Epitaciolândia,AC,NORTE,jan/19,1
Feijó,AC,NORTE,jan/19,1
Porto Acre,AC,NORTE,jan/19,2
Rio Branco,AC,NORTE,jan/19,22
Rodrigues Alves,AC,NORTE,jan/19,1
Sena Madureira,AC,NORTE,jan/19,1
Sena Madureira,AC,NORTE,jan/19,1
Tarauacá,AC,NORTE,jan/19,2
Brasiléia,AC,NORTE,fev/19,1
Cruzeiro do Sul,AC,NORTE,fev/19,1
Feijó,AC,NORTE,fev/19,3
Mâncio Lima,AC,NORTE,fev/19,2
Rio Branco,AC,NORTE,fev/19,15
Sena Madureira,AC,NORTE,fev/19,1
Senador Guiomard,AC,NORTE,fev/19,2
Tarauacá,AC,NORTE,fev/19,1
Assis Brasil,AC,NORTE,mar/19,2
Brasiléia,AC,NORTE,mar/19,1
Cruzeiro do Sul,AC,NORTE,mar/19,2
Manoel Urbano,AC,NORTE,mar/19,1
Rio Branco,AC,NORTE,mar/19,18
Sena Madureira,AC,NORTE,mar/19,1
Tarauacá,AC,NORTE,mar/19,1
Cruzeiro do Sul,AC,NORTE,abr/19,1
Mâncio Lima,AC,NORTE,abr/19,1
Manoel Urbano,AC,NORTE,abr/19,1
Plácido De Castro,AC,NORTE,abr/19,2
Rio Branco,AC,NORTE,abr/19,14
Senador Guiomard,AC,NORTE,abr/19,1
Tarauacá,AC,NORTE,abr/19,1
Acrelândia,AC,NORTE,mai/19,1
Cruzeiro do Sul,AC,NORTE,mai/19,2
Plácido De Castro,AC,NORTE,mai/19,1
Rio Branco,AC,NORTE,mai/19,13
Sena Madureira,AC,NORTE,mai/19,1
Senador Guiomard,AC,NORTE,mai/19,1
Tarauacá,AC,NORTE,mai/19,1
Assis Brasil,AC,NORTE,jun/19,1
Brasiléia,AC,NORTE,jun/19,2
Cruzeiro do Sul,AC,NORTE,jun/19,3
Feijó,AC,NORTE,jun/19,1
Plácido De Castro,AC,NORTE,jun/19,2
Rio Branco,AC,NORTE,jun/19,14
Tarauacá,AC,NORTE,jun/19,1
Cruzeiro do Sul,AC,NORTE,jul/19,2
Feijó,AC,NORTE,jul/19,1
Jordão,AC,NORTE,jul/19,1
Rio Branco,AC,NORTE,jul/19,16
Rodrigues Alves,AC,NORTE,jul/19,3
Senador Guiomard,AC,NORTE,jul/19,1
Tarauacá,AC,NORTE,jul/19,1
Acrelândia,AC,NORTE,ago/19,1
Brasiléia,AC,NORTE,ago/19,1
Cruzeiro do Sul,AC,NORTE,ago/19,4
Rio Branco,AC,NORTE,ago/19,9
Sena Madureira,AC,NORTE,ago/19,1
Senador Guiomard,AC,NORTE,ago/19,1
Tarauacá,AC,NORTE,ago/19,2
Cruzeiro do Sul,AC,NORTE,set/19,5
Feijó,AC,NORTE,set/19,1
Plácido De Castro,AC,NORTE,set/19,2
